IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.123.229.73,80,0,false,ORD,North America,Chicago,192,0.00
18.168.226.70,2086,0,false,ORD,North America,Chicago,170,0.00
18.171.251.158,2087,0,false,ORD,North America,Chicago,203,0.00
16.170.231.255,2082,0,false,ORD,North America,Chicago,189,0.00
18.168.226.70,2087,0,false,ORD,North America,Chicago,161,0.00
16.16.26.138,2053,0,false,ORD,North America,Chicago,226,0.00
13.53.173.182,2083,0,false,ORD,North America,Chicago,205,0.00
13.51.159.51,8880,0,false,ORD,North America,Chicago,193,0.00
3.10.246.143,2053,0,false,ORD,North America,Chicago,188,0.00
18.171.251.158,8880,0,false,ORD,North America,Chicago,181,0.00
18.157.80.242,2087,0,false,ORD,North America,Chicago,193,0.00
34.245.207.87,443,0,false,ORD,North America,Chicago,187,0.00
3.10.246.143,2095,0,false,ORD,North America,Chicago,198,0.00
18.157.80.242,2083,0,false,ORD,North America,Chicago,195,0.00
13.60.11.88,80,0,false,ORD,North America,Chicago,195,0.00
18.156.155.66,2096,0,false,ORD,North America,Chicago,192,0.00
34.245.207.87,2082,0,false,ORD,North America,Chicago,169,0.00
18.157.80.242,443,0,false,ORD,North America,Chicago,190,0.00
3.10.246.143,2087,0,false,ORD,North America,Chicago,201,0.00
18.144.44.254,8880,0,false,ORD,North America,Chicago,171,0.00
35.158.99.241,2095,0,false,ORD,North America,Chicago,211,0.00
13.59.175.58,80,0,false,DME,Europe,Moscow,243,0.00
3.10.246.143,8880,0,false,ORD,North America,Chicago,200,0.00
3.10.246.143,2052,0,false,ORD,North America,Chicago,197,0.00
18.156.155.66,2083,0,false,ORD,North America,Chicago,198,0.00
3.10.246.143,80,0,false,ORD,North America,Chicago,201,0.00
3.10.246.143,2082,0,false,ORD,North America,Chicago,186,0.00
13.51.193.227,443,0,false,ORD,North America,Chicago,188,0.00
18.156.155.66,443,0,false,ORD,North America,Chicago,180,0.00
3.123.229.73,2052,0,false,ORD,North America,Chicago,211,0.00
18.156.155.66,2082,0,false,ORD,North America,Chicago,170,0.00
13.48.5.82,80,0,false,ORD,North America,Chicago,203,0.00
13.53.190.118,2095,0,false,ORD,North America,Chicago,196,0.00
3.123.229.73,2095,0,false,ORD,North America,Chicago,203,0.00
3.96.138.198,8443,0,false,ORD,North America,Chicago,257,0.00
16.16.26.138,443,0,false,ORD,North America,Chicago,202,0.00
99.79.95.3,80,0,false,ORD,North America,Chicago,258,0.00
35.182.238.24,8443,0,false,ORD,North America,Chicago,256,0.00
35.182.238.24,2053,0,false,ORD,North America,Chicago,282,0.00
15.156.193.147,2086,0,false,ORD,North America,Chicago,242,0.00
13.60.11.151,2096,0,false,ORD,North America,Chicago,215,0.00
35.158.99.241,8080,0,false,ORD,North America,Chicago,193,0.00
13.60.11.151,8443,0,false,ORD,North America,Chicago,196,0.00
15.222.13.181,2086,0,false,ORD,North America,Chicago,254,0.00
3.12.144.146,80,0,false,ORD,North America,Chicago,239,0.00
15.157.58.227,2082,0,false,ORD,North America,Chicago,259,0.00
3.96.190.161,2086,0,false,ORD,North America,Chicago,273,0.00
15.222.4.217,2053,0,false,ORD,North America,Chicago,256,0.00
15.157.58.227,443,0,false,ORD,North America,Chicago,260,0.00
16.16.26.138,2087,0,false,ORD,North America,Chicago,208,0.00
3.96.138.198,443,0,false,ORD,North America,Chicago,259,0.00
15.156.205.90,2052,0,false,ORD,North America,Chicago,277,0.00
35.183.8.139,2083,0,false,ORD,North America,Chicago,262,0.00
18.156.155.66,8443,0,false,ORD,North America,Chicago,168,0.00
15.156.205.90,8443,0,false,ORD,North America,Chicago,261,0.00
18.156.155.66,2086,0,false,ORD,North America,Chicago,213,0.00
15.222.4.217,8880,0,false,ORD,North America,Chicago,281,0.00
15.156.205.90,2083,0,false,ORD,North America,Chicago,247,0.00
51.21.149.131,2086,0,false,ORD,North America,Chicago,199,0.00
15.156.193.147,8880,0,false,ORD,North America,Chicago,256,0.00
15.222.4.217,443,0,false,ORD,North America,Chicago,254,0.00
13.36.229.169,8880,0,false,ORD,North America,Chicago,185,0.00
18.144.44.254,8080,0,false,ORD,North America,Chicago,165,0.00
15.222.13.181,2053,0,false,ORD,North America,Chicago,259,0.00
15.222.4.217,2086,0,false,ORD,North America,Chicago,253,0.00
15.222.13.181,2087,0,false,ORD,North America,Chicago,270,0.00
3.68.118.86,2052,0,false,ORD,North America,Chicago,186,0.00
15.156.193.147,2096,0,false,ORD,North America,Chicago,241,0.00
15.222.4.217,2052,0,false,ORD,North America,Chicago,261,0.00
15.157.58.227,2052,0,false,ORD,North America,Chicago,264,0.00
3.96.190.161,2083,0,false,ORD,North America,Chicago,256,0.00
15.157.30.77,80,0,false,ORD,North America,Chicago,254,0.00
15.156.205.90,443,0,false,ORD,North America,Chicago,240,0.00
15.222.4.217,2096,0,false,ORD,North America,Chicago,253,0.00
3.96.190.161,2087,0,false,ORD,North America,Chicago,275,0.00
51.21.149.131,8080,0,false,ORD,North America,Chicago,188,0.00
18.144.44.254,2087,0,false,ORD,North America,Chicago,165,0.00
35.182.238.24,8880,0,false,ORD,North America,Chicago,262,0.00
35.182.238.24,2052,0,false,ORD,North America,Chicago,240,0.00
3.98.231.179,80,0,false,ORD,North America,Chicago,262,0.00
15.156.193.147,8080,0,false,ORD,North America,Chicago,255,0.00
3.96.138.198,8880,0,false,ORD,North America,Chicago,255,0.00
3.96.190.161,2095,0,false,ORD,North America,Chicago,259,0.00
99.79.195.238,443,0,false,ORD,North America,Chicago,254,0.00
15.157.58.227,2086,0,false,ORD,North America,Chicago,256,0.00
34.245.207.87,8443,0,false,ORD,North America,Chicago,172,0.00
3.96.190.161,8443,0,false,ORD,North America,Chicago,256,0.00
15.156.193.147,2052,0,false,ORD,North America,Chicago,256,0.00
15.222.4.217,2095,0,false,ORD,North America,Chicago,275,0.00
15.222.4.217,80,0,false,ORD,North America,Chicago,261,0.00
3.96.138.198,2086,0,false,ORD,North America,Chicago,241,0.00
15.156.193.147,443,0,false,ORD,North America,Chicago,255,0.00
35.182.238.24,2083,0,false,ORD,North America,Chicago,253,0.00
15.156.193.147,2095,0,false,ORD,North America,Chicago,277,0.00
15.157.58.227,8443,0,false,ORD,North America,Chicago,256,0.00
3.96.173.26,2082,0,false,ORD,North America,Chicago,244,0.00
34.245.207.87,2087,0,false,ORD,North America,Chicago,200,0.00
34.245.207.87,8880,0,false,ORD,North America,Chicago,188,0.00
3.68.118.86,2082,0,false,ORD,North America,Chicago,188,0.00
3.96.173.26,2052,0,false,ORD,North America,Chicago,243,0.00
15.222.4.217,2082,0,false,ORD,North America,Chicago,241,0.00
3.96.173.26,2086,0,false,ORD,North America,Chicago,277,0.00
15.156.193.147,8443,0,false,ORD,North America,Chicago,254,0.00
3.96.190.161,2082,0,false,ORD,North America,Chicago,263,0.00
15.157.58.227,2096,0,false,ORD,North America,Chicago,263,0.00
15.157.58.227,8880,0,false,ORD,North America,Chicago,275,0.00
15.157.58.227,2095,0,false,ORD,North America,Chicago,256,0.00
35.182.238.24,2087,0,false,ORD,North America,Chicago,259,0.00
13.58.142.1,80,0,false,ORD,North America,Chicago,227,0.00
15.156.205.90,8880,0,false,ORD,North America,Chicago,269,0.00
3.96.173.26,2095,0,false,ORD,North America,Chicago,258,0.00
15.156.193.147,2083,0,false,ORD,North America,Chicago,241,0.00
3.96.138.198,80,0,false,ORD,North America,Chicago,263,0.00
15.156.193.147,80,0,false,ORD,North America,Chicago,281,0.00
35.182.238.24,2082,0,false,ORD,North America,Chicago,263,0.00
3.96.190.161,80,0,false,ORD,North America,Chicago,279,0.00
35.182.168.151,80,0,false,ORD,North America,Chicago,260,0.00
15.156.193.147,2053,0,false,ORD,North America,Chicago,253,0.00
15.157.58.227,2083,0,false,ORD,North America,Chicago,240,0.00
15.157.58.227,8080,0,false,ORD,North America,Chicago,256,0.00
3.96.173.26,8080,0,false,ORD,North America,Chicago,241,0.00
15.157.58.227,80,0,false,ORD,North America,Chicago,282,0.00
15.222.13.181,443,0,false,ORD,North America,Chicago,240,0.00
3.96.173.26,80,0,false,ORD,North America,Chicago,266,0.00
3.96.173.26,2087,0,false,ORD,North America,Chicago,265,0.00
15.222.13.181,8880,0,false,ORD,North America,Chicago,255,0.00
15.222.13.181,2052,0,false,ORD,North America,Chicago,258,0.00
3.96.173.26,8443,0,false,ORD,North America,Chicago,240,0.00
34.245.207.87,80,0,false,ORD,North America,Chicago,197,0.00
34.245.207.87,2086,0,false,ORD,North America,Chicago,200,0.00
35.182.238.24,2096,0,false,ORD,North America,Chicago,260,0.00
3.96.190.161,8880,0,false,ORD,North America,Chicago,256,0.00
3.96.138.198,2096,0,false,ORD,North America,Chicago,284,0.00
3.96.173.26,2096,0,false,ORD,North America,Chicago,258,0.00
15.222.13.181,80,0,false,ORD,North America,Chicago,265,0.00
15.222.4.217,2087,0,false,ORD,North America,Chicago,261,0.00
15.222.13.181,2096,0,false,ORD,North America,Chicago,251,0.00
18.144.44.254,2095,0,false,ORD,North America,Chicago,171,0.00
34.245.207.87,2083,0,false,ORD,North America,Chicago,202,0.00
